abstract,pub_date,type_of_material,word_count,print_page,headline,section_name,subsection_name
"New York, New Jersey, Pennsylvania, Delaware, Connecticut, Massachusetts and Rhode Island will unite to purchase medical supplies.",2020-05-03T13:10:38+0000,News,1773,8,Seven States to Coordinate on Amassing Medical Equipment to Fight Coronavirus,New York,
"On our daily walks together, my young daughter and I begin to navigate a new reality.",2020-05-01T19:30:09+0000,Op-Ed,1481,10,The Courage to Be Alone,Opinion,Sunday Review
The small-scale events could create a road map to help the men’s and women’s tours return.,2020-05-01T05:00:06+0000,News,1279,8,Tennis Coming Back Slowly With Exhibition Matches,Sports,Tennis
"By ordering in, a political reporter continues to enjoy his favorite dishes from around the country.",2020-05-01T18:24:58+0000,News,1175,3,The Best Part of the Campaign Trail (the Food!) Comes Home,Food,
"You or your loved one is another year older no matter what, so why not celebrate?",2020-05-02T16:00:07+0000,News,1331,7,"Go Ahead, Blow Out the Candles on Zoom",Smarter Living,
"Nonprofit groups led by black and Latino directors lag behind peers with white leaders, but two leading philanthropic organizations hope to change that.",2020-05-01T13:00:08+0000,News,1318,9,"In Philanthropy, Race Is Still a Factor in Who Gets What, Study Shows",Your Money,
"With a crunchy shortbread crust and tangy curd filling, this rhubarb-filled confection is perfect for spring.",2020-05-01T15:35:17+0000,News,446,2,"Introducing Rhubarb Bars, Lemon Bars’ Pinker Cousins",Food,
"Weeks of speculation about Mr. Kim’s health brought home an alarming fact: No one knows who will control North Korea, or its nuclear weapons, should he die.",2020-05-02T08:16:16+0000,News,1188,21,Kim Jong-un Is Back. What Happens When He’s Really Gone?,World,Asia Pacific
"In Phil Bildner’s “A High Five for Glenn Burke,” the inventor of the world’s most popular celebratory gesture helps a budding baseball player accept himself for who he is.",2020-05-01T18:40:26+0000,Review,655,18,Pride at the Plate for a Little League All-Star,Books,Book Review
"The project, announced by the C.D.C., will help trace patterns of transmission, investigate outbreaks and map how the virus is evolving, which can affect a cure.",2020-05-01T02:30:33+0000,News,712,,Labs Across U.S. Join Federal Initiative to Study Coronavirus Genome,Science,
Cattle produce more methane than many large countries. A solution could be an ecological and financial breakthrough — and a Swiss biotech company may be on the cusp.,2020-05-01T09:00:47+0000,News,2800,1,The Business of Burps: Scientists Smell Profit in Cow Emissions,Business Day,
"Joe Robert Cole, the writer and director of a new Oakland-set Netflix drama discusses a high-energy sequence that takes place at a party-car-stunt display called a sideshow.",2020-05-01T13:03:03+0000,News,253,,How ‘All Day and a Night’ Dazzles With a Street Scene,Movies,
The writer and director Joe Robert Cole narrates a sequence from his film featuring Ashton Sanders.,2020-05-01T13:00:01+0000,Video,0,,‘All Day and a Night’ | Anatomy of a Scene,Movies,
21st century soccer is as much about the pursuit of style as success. But what defines what any of us find good to watch? And do we all have to enjoy the same thing?,2020-05-01T21:00:07+0000,News,2034,11,A Matter of Taste,Sports,Soccer
"Buskers, musicians and muralists have been entertaining London for centuries. But now the capital has gone quiet and the future of their activities looks uncertain.",2020-05-01T12:35:37+0000,News,1411,6,Can Street Artists Survive a City in Lockdown?,Arts,Art & Design
"Quotation of the Day for Saturday, May 2, 2020.",2020-05-02T02:20:23+0000,Quote,38,3,Quotation of the Day: Risky New Phase Brings Discord and Unease,Today’s Paper,
"In an interview, Dr. Vladimir Zelenko said he was guilty of nothing more than sloppy wording.",2020-05-01T22:36:56+0000,News,786,,Doctor Who Promoted Malarial Drug Draws Scrutiny of Federal Prosectors,U.S.,
The pandemic has laid bare the instability of the industrialized food chain.,2020-05-01T23:36:07+0000,Op-Ed,768,27,"A Shortage of Steak? Yes, and Ranchers Knew It Was Coming",Opinion,
"For now, the SAT and ACT are more democratic than many of the other metrics used to evaluate college applicants.",2020-05-01T09:00:21+0000,Op-Ed,1199,27,A Pandemic Isn’t a Reason to Abolish the SAT,Opinion,
"Lawmakers want to question Mr. Bezos, Amazon’s chief executive, as part of its antitrust investigation.",2020-05-01T14:55:37+0000,News,959,1,Congress Calls on Jeff Bezos of Amazon to Testify,Technology,
"In parts of Asia and Australia, people are going out — but social distancing and other restrictions have become the new normal.",2020-05-02T14:53:10+0000,News,1387,1,"No More Jenga, No More ‘Amen’ as Cities Learn to Live With Coronavirus",World,Asia Pacific
"Moderate Republicans in competitive districts are navigating a careful balance in addressing the coronavirus crisis, eager to put some distance between themselves and a president whose response has been criticized.",2020-05-02T09:00:15+0000,News,1529,10,"Fearing Political Peril, Republicans Edge Away From Trump on Pandemic Response",U.S.,Politics
He left my life when I needed him most. And then he came back.,2020-05-02T15:00:08+0000,Op-Ed,1252,7,The Father I Never Forgave,Opinion,Sunday Review
"“I just went down on my knees,” his mother recalled later. “I just implored God for mercy.”",2020-05-02T18:37:02+0000,Op-Ed,1289,9,"A Young Doctor, Fighting for His Life",Opinion,Sunday Review
"With partisan goggles, we plunge back into the muck.",2020-05-02T18:30:05+0000,Op-Ed,1113,9,Joe Says It Ain’t So,Opinion,Sunday Review
At first we thought the column could be a break from the coronavirus. A flood of submissions told us that wasn’t possible.,2020-05-02T01:14:57+0000,News,750,2,What Does Modern Love Mean in a Pandemic?,Reader Center,
It is just speeding up trends that were already underway.,2020-05-03T23:00:05+0000,Op-Ed,1803,23,The Pandemic Isn’t Changing Everything,Opinion,
Tara Reade’s allegations against Joe Biden demand action.,2020-05-03T19:00:07+0000,Op-Ed,986,,"Democrats, It’s Time to Consider a Plan B",Opinion,
"The still-unsolved Oakland County Child Killer case lodged in the author Megan Abbott’s psyche, even if she didn’t know it at the time.",2020-05-01T09:00:20+0000,News,1751,,‘The Streets Look So Empty’: How a Child Killer Haunted My First Novel,U.S.,
Scaling up the manufacturing of syringes and other medical products required to deliver a vaccine to millions of Americans will be just as important as the vaccine itself.,2020-05-01T09:00:27+0000,News,1213,4,Find a Vaccine. Next: Produce 300 Million Vials of It.,Health,
"The government said eight men had been killed and two captured in a foiled coup attempt, which officials attributed to Colombia and the United States.",2020-05-03T20:23:11+0000,News,613,16,Venezuelan Officials Claim to Have Stopped an Armed Incursion,World,Americas
Public health experts fear that their messaging could further harm the country’s response to the pandemic.,2020-05-03T01:06:52+0000,News,1199,11,Antivaccination Activists Are Growing Force at Virus Protests,U.S.,
He said he was in the “why-not” business. And his Radio Caroline became the soundtrack of British and European youth in the 1960s.,2020-05-03T15:44:04+0000,Obituary (Obit),1298,24,"Ronan O’Rahilly, Pioneer of Pirate Radio, Is Dead at 79",Arts,Music
"The president’s chief adviser on immigration, Stephen Miller, had long tried to halt migration based on public health, without success. Then came the coronavirus.",2020-05-03T21:35:31+0000,News,1573,1,"Before Covid-19, Trump Aide Sought to Use Disease to Close Borders",U.S.,
Educators at schools from Brown to Northern Arizona know the experience is lacking. So why won’t they give some money back?,2020-05-01T22:02:56+0000,News,1354,1,Colleges Won’t Refund Tuition. Autumn May Force a Reckoning.,Your Money,
"Simplest roast chicken, chocolate chip cookies and more recipes.",2020-05-02T14:30:00+0000,News,34,,41 Classic Dishes You Should Master,Admin,
The police said they had classified the deaths as a hate crime after the remains of two women were found in a badly burned car last week.,2020-05-01T00:05:01+0000,News,839,22,Two Arrested in Killings of Transgender Women in Puerto Rico,U.S.,
"Lawmakers want to question Mr. Bezos, Amazon’s chief executive, as part of its antitrust investigation.",2020-05-01T14:55:37+0000,News,959,1,Congress Calls on Jeff Bezos of Amazon to Testify,Technology,
Here’s how to ask for accommodations.,2020-05-01T14:23:33+0000,News,1607,3,What Rights Do Pregnant Workers Have in a Pandemic?,Parenting,
"Godfrey Mwampembwa, popularly known as Gado, has been holding politicians accountable for nearly 30 years. Now, his concern has shifted to the coronavirus.",2020-05-01T13:36:23+0000,News,1183,19,Tanzanian Cartoonist Has a Stick for Every Powerful Eye,World,Africa
"New Yorkers with no better place to go keep riding and sleeping on otherwise empty trains, stirring public health fears and prompting a nightly shutdown for cleaning.",2020-05-02T09:00:11+0000,News,1496,1,Stark Symbol of Pandemic in N.Y.: Homeless People Huddled on the Subway,New York,
"New York, New Jersey, Pennsylvania, Delaware, Connecticut, Massachusetts and Rhode Island will unite to purchase medical supplies.",2020-05-03T13:10:38+0000,News,1773,8,Seven States to Coordinate on Amassing Medical Equipment to Fight Coronavirus,New York,
"Nonprofit groups led by black and Latino directors lag behind peers with white leaders, but two leading philanthropic organizations hope to change that.",2020-05-01T13:00:08+0000,News,1318,9,"In Philanthropy, Race Is Still a Factor in Who Gets What, Study Shows",Your Money,
"With a crunchy shortbread crust and tangy curd filling, this rhubarb-filled confection is perfect for spring.",2020-05-01T15:35:17+0000,News,446,2,"Introducing Rhubarb Bars, Lemon Bars’ Pinker Cousins",Food,
"On our daily walks together, my young daughter and I begin to navigate a new reality.",2020-05-01T19:30:09+0000,Op-Ed,1481,10,The Courage to Be Alone,Opinion,Sunday Review
The small-scale events could create a road map to help the men’s and women’s tours return.,2020-05-01T05:00:06+0000,News,1279,8,Tennis Coming Back Slowly With Exhibition Matches,Sports,Tennis
"By ordering in, a political reporter continues to enjoy his favorite dishes from around the country.",2020-05-01T18:24:58+0000,News,1175,3,The Best Part of the Campaign Trail (the Food!) Comes Home,Food,
"Weeks of speculation about Mr. Kim’s health brought home an alarming fact: No one knows who will control North Korea, or its nuclear weapons, should he die.",2020-05-02T08:16:16+0000,News,1188,21,Kim Jong-un Is Back. What Happens When He’s Really Gone?,World,Asia Pacific
"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.",2020-05-03T22:02:47+0000,News,326,,"What’s Going On in This Picture? | May 4, 2020",The Learning Network,
Cattle produce more methane than many large countries. A solution could be an ecological and financial breakthrough — and a Swiss biotech company may be on the cusp.,2020-05-01T09:00:47+0000,News,2800,1,The Business of Burps: Scientists Smell Profit in Cow Emissions,Business Day,
"Plus, how to stay connected.",2020-05-01T18:00:07+0000,News,346,,Love Letter: Living With Loneliness,Style,
He left my life when I needed him most. And then he came back.,2020-05-02T15:00:08+0000,Op-Ed,1252,7,The Father I Never Forgave,Opinion,Sunday Review
"“I just went down on my knees,” his mother recalled later. “I just implored God for mercy.”",2020-05-02T18:37:02+0000,Op-Ed,1289,9,"A Young Doctor, Fighting for His Life",Opinion,Sunday Review
"With partisan goggles, we plunge back into the muck.",2020-05-02T18:30:05+0000,Op-Ed,1113,9,Joe Says It Ain’t So,Opinion,Sunday Review
Some producers acknowledge the efforts are “just a drop in the bucket” of what farmers can’t sell and are destroying instead.,2020-05-02T20:00:12+0000,News,910,1,‘We Had to Do Something’: Trying to Prevent Massive Food Waste,Business Day,
"Readers suggest that: businesses that reopen keep customer logs, everyone keep a daily diary and random sampling be done widely.",2020-05-03T16:00:03+0000,Letter,424,22,Tracing and Sampling to Monitor Covid-19,Opinion,Letters
"Readers predict a recovery that may be different from the city we knew. Also: Simple recipes, please; an economy that will rebound.",2020-05-03T16:00:07+0000,Letter,667,22,I’m Staying Put in New York. It’s Still Glorious.,Opinion,Letters
"Therapists in New York must deal with a parade of coronavirus-fueled anxieties, from their patients and from themselves.",2020-05-03T18:28:38+0000,News,1311,10,Therapists and Patients Find Common Ground: Virus-Fueled Anxiety,New York,
Here’s how to ask for accommodations.,2020-05-01T14:23:33+0000,News,1607,3,What Rights Do Pregnant Workers Have in a Pandemic?,Parenting,
"Godfrey Mwampembwa, popularly known as Gado, has been holding politicians accountable for nearly 30 years. Now, his concern has shifted to the coronavirus.",2020-05-01T13:36:23+0000,News,1183,19,Tanzanian Cartoonist Has a Stick for Every Powerful Eye,World,Africa
Shady Habash had been held without trial at a maximum-security prison for two years. His lawyer said the cause of death was unknown.,2020-05-02T12:48:46+0000,News,680,21,Filmmaker Who Mocked Egypt’s President Dies in Prison,World,Middle East
"Congress declined the administration’s offer of rapid testing, saying tests were needed more elsewhere. Former President George W. Bush urged unity in a video message.",2020-05-02T12:01:52+0000,News,6087,,Relaxed Rules and Warm Weather Test States,U.S.,
"In parts of Asia and Australia, people are going out — but social distancing and other restrictions have become the new normal.",2020-05-02T14:53:10+0000,News,1387,1,"No More Jenga, No More ‘Amen’ as Cities Learn to Live With Coronavirus",World,Asia Pacific
"Moderate Republicans in competitive districts are navigating a careful balance in addressing the coronavirus crisis, eager to put some distance between themselves and a president whose response has been criticized.",2020-05-02T09:00:15+0000,News,1529,10,"Fearing Political Peril, Republicans Edge Away From Trump on Pandemic Response",U.S.,Politics
"When the most successful companies are anxious, you know we’re in scary times.",2020-05-01T17:26:57+0000,News,907,5,Big Tech’s Worries Should Worry You,Technology,
"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.",2020-05-03T22:02:47+0000,News,326,,"What’s Going On in This Picture? | May 4, 2020",The Learning Network,
"“Moby-Dick” contained the author’s diagnosis, prognosis and prescription for the human condition. We didn’t listen.",2020-05-02T09:00:07+0000,News,1405,,Melville’s Whale Was a Warning We Failed to Heed,Books,Book Review
"All your questions about the pandemic, answered. Sort of.",2020-05-03T19:00:06+0000,Op-Ed,1677,,Flattening the Truth on Coronavirus,Opinion,
"As people resume going out in public in the middle of a pandemic, to wear or not to wear a face mask has become a personal statement and sometimes a political one.",2020-05-03T23:32:43+0000,News,1499,11,Masks Become a Flash Point in the Virus Culture Wars,U.S.,
"From Norway to Colorado, street artists depict a world of masks and hand-washing (and toilet paper). One recurrent theme: a deep appreciation of health care workers.",2020-05-01T09:00:30+0000,News,1159,2,Street Art Confronts the Pandemic,Travel,
"As people resume going out in public in the middle of a pandemic, to wear or not to wear a face mask has become a personal statement and sometimes a political one.",2020-05-03T23:32:43+0000,News,1499,11,Masks Become a Flash Point in the Virus Culture Wars,U.S.,
"It was struggling before the coronavirus pandemic, but J. Crew is unlikely to be the last retailer to fall.",2020-05-03T22:44:44+0000,News,1340,1,J. Crew Files for Bankruptcy in Virus’s First Big Retail Casualty,Business Day,
"At the peak of the pandemic in New York, a longtime city employee joined a crush of patients in desperate need of treatment.",2020-05-01T09:00:28+0000,News,2357,1,A Life and Death Battle: 4 Days of Kidney Failure but No Dialysis,Health,
"From Norway to Colorado, street artists depict a world of masks and hand-washing (and toilet paper). One recurrent theme: a deep appreciation of health care workers.",2020-05-01T09:00:30+0000,News,1159,2,Street Art Confronts the Pandemic,Travel,
"Next time you cook chicken, don’t rely on the color of the meat to tell you if it’s cooked enough to avoid food poisoning.",2020-05-01T19:24:38+0000,News,847,4,Your Chicken Is No Longer Pink. That Doesn’t Mean It’s Safe to Eat.,Science,
"As calls for inquiries and reparations spread, Beijing has responded aggressively, mixing threats with aid and adding to a growing mistrust of China.",2020-05-03T10:17:19+0000,News,1407,6,Global Backlash Builds Against China Over Coronavirus,World,Europe
It’s easier to pick up the world’s best card game at home on your own.,2020-05-01T16:30:05+0000,News,403,5,Now Is the Time to Learn to Play Bridge,Smarter Living,
"From New York to Los Angeles, tenant groups are encouraging millions of renters to withhold May rent, which landlords warn would be devastating.",2020-05-01T07:00:08+0000,News,1129,18,#CancelRent Is New Rallying Cry for Tenants. Landlords Are Alarmed.,New York,
"During epidemics, war and national tragedy, baseball was medicine for the masses. During this crisis, we’re still waiting for the prescription to be filled.",2020-05-01T14:31:48+0000,News,869,9,The Healing Power of Baseball,Well,
"Even with the progress of #MeToo, women are called upon to defend their male colleagues. In the 2020 election, that can mean putting the movement itself on the line.",2020-05-02T16:25:06+0000,News,1963,1,"The Allegation Is Against Joe Biden, but the Burden Is on Women",U.S.,Politics
"You can use this time to address your dog’s behavioral issues, to make sure it has truly found its forever home.",2020-05-01T09:00:06+0000,News,837,2,Consider Virtual Dog Training for Your Pandemic Puppy,Well,
"Monique Collier Nickles and Leroy Nickles, physicians on the front line of the coronavirus pandemic, share why it’s more important than ever to have frequent relationship check-ins.",2020-05-02T09:00:12+0000,News,1237,,Married Doctors Learn to Meet in the Middle,Fashion & Style,Weddings
"Fiona Apple blows our minds, again.",2020-05-01T00:13:29+0000,News,146,,Fiona Ex Machina,Podcasts,
"The blogger and essayist reads her latest collection, “Wow, No Thank You.”",2020-05-01T09:00:06+0000,Review,1108,13,Some Personal News From Samantha Irby,Books,Book Review
"“The absolute most important thing is that they know that they’re cared about,” said a principal in Texas who drove 800 miles to visit each of his school’s 612 graduating seniors.",2020-05-03T20:54:01+0000,News,963,19,Principals Find Novel Ways to Honor Seniors During Shutdown,U.S.,
"Some Domino’s workers finally got Covid-19 protections, but it took an outbreak and a strike.",2020-05-03T19:00:05+0000,Op-Ed,189,,Domino’s Is Raking in Money. What About Its Employees?,Opinion,
"Living with an invisible outside threat, and no visible outlet, forced my daughter and me to negotiate and reconcile — and fast.",2020-05-01T09:00:16+0000,News,1098,,How Coronavirus Shifted the Stakes of Teenage Rebellion,Well,Family
Adm. Michael M. Gilday appears determined that his recommendations on the Roosevelt case will be made based on Navy principles and not on fears of what the White House might want.,2020-05-01T09:00:22+0000,News,1241,20,An Accidental Navy Chief Steers His Service Through a Storm,U.S.,Politics
The coronavirus is expected to permanently shut millions of small businesses in the next several months. Here are issues for owners to consider.,2020-05-01T09:00:19+0000,News,1641,3,When Does a Small Business File for Bankruptcy? And 8 More Questions,Business Day,
"Warming and gently spiced, this easy loaf cake comes together in just about an hour — and may not last nearly as long.",2020-05-01T16:42:51+0000,News,510,,This Snickerdoodle in Poundcake Form Is Your Next Baking Project,Food,
"If college athletes are permitted to cash in on their fame, how can the N.C.A.A. forbid guidance from people who have long worked in the shadows?",2020-05-01T04:30:08+0000,News,890,9,Will New N.C.A.A. Rules Really Keep Agents and Boosters at Bay?,Sports,
Trenton Charlson raises the curtain on our solving weekend.,2020-05-01T02:00:05+0000,News,942,,Closing Number of a Musical,Crosswords & Games,
What is this image saying? How does it relate to or comment on society or current events?,2020-05-01T07:00:02+0000,News,63,,Eyeballs,The Learning Network,
How can we learn to be connected even when we are feeling alone during the pandemic?,2020-05-01T12:09:12+0000,News,387,,Film Club: ‘What My Spacewalk Taught Me About Isolation’,The Learning Network,
Governor Cuomo said it was impossible to reopen schools “in a way that would keep our children and students and educators safe.”,2020-05-01T11:16:55+0000,News,2436,,New York Closes Schools Through End of Academic Year,New York,
"This month, fans may finally get a chance to see some real live sports on television, if not in person.",2020-05-01T20:05:23+0000,News,853,,"May: The Month That Sports, Kind of, Come Back",Sports,
"In this drama from one of the screenwriters of “Black Panther,” a young man embarks on a journey of belated self-discovery.",2020-05-01T07:01:04+0000,Review,416,12,‘All Day and a Night’ Review: Growth Behind Bars,Movies,
"Rules and store technology can impede Supplemental Nutrition Assistance Program recipients, but a pilot effort to expand access is picking up speed.",2020-05-01T09:00:28+0000,News,1118,5,"For Most Food Stamp Users, Online Shopping Isn’t an Option",Your Money,
The pandemic makes painfully clear that our economy must be reconfigured to be resilient in the face of disruption and change.,2020-05-01T09:00:15+0000,Op-Ed,1215,,Why Americans Need a Guaranteed Income,Opinion,
She was known as a fierce and powerful dancer. Her teaching style was similarly demanding.,2020-05-01T19:20:35+0000,Obituary (Obit),466,24,"Helen McGehee, a Martha Graham Dancer and Teacher, Dies at 98",Arts,Dance
"Because of his work, society began to accommodate those who kept kosher and observed the Sabbath.",2020-05-01T22:43:14+0000,Obituary (Obit),1138,25,"Marvin Schick, Advocate for the Orthodox Community, Dies at 85",New York,
"Laurie Hernandez won medals at the 2016 Games. But she said her love of the sport was tainted under training with Maggie Haney, who is now suspended by the sport’s American federation.",2020-05-01T23:04:18+0000,News,1621,10,Olympic Gymnast Recalls Emotional Abuse ‘So Twisted That I Thought It Couldn’t Be Real’,Sports,
The F.D.A. issued emergency approval for an antiviral drug. High school seniors appear reluctant to commit to a college for the fall.,2020-05-01T09:28:08+0000,News,5750,,"As More States Reopen, Protesters Chafe at Restrictions",U.S.,
"She didn’t want to go to Burning Man (for all the reasons people don’t), but then there she was, dancing naked in the desert, and it was good.",2020-05-01T04:00:07+0000,News,1547,5,"Making Space in Marriage, Even as the Walls Close In",Style,
"Plus: Once we all get back to work, let’s give our pets a vacation. Forever.",2020-05-01T09:00:16+0000,News,1109,3,Bored at Work? The Solution Involves a Small Orange Man,Business Day,
Drawing mundane things like my dish rack had helped me survive job loss. Could it be helping me through the coronavirus?,2020-05-01T09:00:11+0000,News,1285,,The Big Impact of a Small Hobby,Well,Mind
"Given a chance to ask questions of the attorney general, many users opted for insults or accusations.",2020-05-01T20:59:27+0000,News,617,22,Barr Defends Response to Virus in Stormy Twitter Session,U.S.,Politics
"A judge ruled that The Mail on Sunday would not be judged on whether it had acted dishonestly in publishing a letter from the Duchess of Sussex to her father, Thomas Markle.",2020-05-01T13:44:32+0000,News,602,19,Setback for Harry and Meghan in Legal Battle With U.K. Tabloids,World,Europe
Two doctors reflect on Dr. Lorna Breen’s death and the need for doctors to care for themselves as well as patients. Also: Jared Kushner on the virus; nursing home safety; schools and student anxiety.,2020-05-01T18:28:25+0000,Letter,917,26,A Suicide Highlighting the Stresses Doctors Face,Opinion,Letters
Prime Minister Justin Trudeau said the government had been in the process of introducing the ban when its agenda was overturned by the pandemic.,2020-05-01T17:32:39+0000,News,979,19,Canada Bans Assault Weapons in Wake of Deadly Mass Shooting,World,Canada
He brought both Elizabeth Taylor (in “The Little Foxes”) and Muhammad Ali (in a memorable flop) to Broadway. He was even busier in Florida.,2020-05-01T21:20:20+0000,Obituary (Obit),1185,21,"Zev Buffman, Prolific Theatrical Producer, Is Dead at 89",Theater,
Or will Democrats handle Tara Reade’s allegation the way Republicans would?,2020-05-01T20:51:45+0000,Op-Ed,1379,,Will Biden Play by the Rules?,Opinion,
Readers discuss how voters should regard Ms. Reade’s account of a 1993 incident in the Senate building.,2020-05-01T19:30:57+0000,Letter,433,26,Tara Reade’s Sexual Assault Claim Against Joe Biden,Opinion,Letters
"Instead of focusing on credentials, let’s give candidates the chance to showcase their will and skill to learn.",2020-05-01T13:44:51+0000,News,1084,,Job Interviews Are Broken. There’s a Way to Fix Them.,Smarter Living,
"For researchers using delicate, one-of-a-kind equipment, the extreme conditions at the bottom of the planet pose special challenges.",2020-05-02T09:00:19+0000,News,940,5,Antarctica vs. Science,Science,
"As states begin to loosen restrictions, the act of reopening will be carried out not by governors or the president, but the millions of individuals being asked to do it.",2020-05-01T18:41:56+0000,News,1515,16,Your Life or Your Livelihood: Americans Wrestle With Impossible Choice,U.S.,
"Secretary of State Mike Pompeo backed President Trump’s assertion that the coronavirus originated in a lab in Wuhan, though intelligence agencies say they have reached no conclusion on the issue.",2020-05-03T22:24:08+0000,News,978,9,"Pompeo Ties Coronavirus to China Lab, Despite Spy Agencies’ Uncertainty",U.S.,Politics
What is this image saying? How does it relate to or comment on society or current events?,2020-05-01T07:00:02+0000,News,63,,Eyeballs,The Learning Network,
How can we learn to be connected even when we are feeling alone during the pandemic?,2020-05-01T12:09:12+0000,News,387,,Film Club: ‘What My Spacewalk Taught Me About Isolation’,The Learning Network,
Trenton Charlson raises the curtain on our solving weekend.,2020-05-01T02:00:05+0000,News,942,,Closing Number of a Musical,Crosswords & Games,
"The coronavirus pandemic has disrupted eating and fitness routines, potentially compounding the stress of those, including athletes, who have eating disorders.",2020-05-03T20:30:07+0000,News,1411,1,Disruptions Add to Risks for Athletes With Eating Disorders,Sports,
He brought both Elizabeth Taylor (in “The Little Foxes”) and Muhammad Ali (in a memorable flop) to Broadway. He was even busier in Florida.,2020-05-01T21:20:20+0000,Obituary (Obit),1185,21,"Zev Buffman, Prolific Theatrical Producer, Is Dead at 89",Theater,
Cholera changed the face of Paris. Will Covid-19 change the streets of New York?,2020-05-01T09:00:28+0000,News,1019,3,Streets Should Be Car-Free During Lockdown. And After.,New York,
"Heavily dependent on advertising and circulation, local and regional newspapers in the U.K. could face financial ruin as a result of the coronavirus pandemic.",2020-05-03T19:04:19+0000,News,1031,3,"More Readers, Fewer Ads: Britain’s Local Newspapers Are Struggling",Business Day,Media
"Warming and gently spiced, this easy loaf cake comes together in just about an hour — and may not last nearly as long.",2020-05-01T16:42:51+0000,News,510,,This Snickerdoodle in Poundcake Form Is Your Next Baking Project,Food,
"Spring remains colorful, but unusually quiet, at some of the city’s botanical gardens as crews work to prune the beauty behind closed gates.",2020-05-01T15:00:09+0000,News,874,1,"At New York’s ‘Museums of Plants,’ the Art Is Blooming Lonely",Arts,
"Our retooled newsletter to start your day, intended to inform and amuse you just as before, will contain a few new voices, including mine. And I’m as big a fan of newsletters as anyone.",2020-05-03T22:59:54+0000,News,788,2,A New Companion for Your Morning,Reader Center,
"Most pantries are closed on Sundays, but Jorge Negron opens his to make and provide brown-bag lunches.",2020-05-01T09:00:30+0000,News,833,2,How a Food Bank Manager Spends His Sundays,New York,
"Under the collective bargaining agreement ratified in March, more than 400 retired players are set to see reductions to their monthly benefits.",2020-05-02T23:44:30+0000,News,610,,N.F.L. Players Union Will Review Disability Benefits,Sports,Pro Football
"With billions of people staying home, the world is reinventing the weekend.",2020-05-01T09:00:03+0000,Interactive Feature,0,8,The New Saturday Night,Arts,
"The coronavirus pandemic has disrupted eating and fitness routines, potentially compounding the stress of those, including athletes, who have eating disorders.",2020-05-03T20:30:07+0000,News,1411,1,Disruptions Add to Risks for Athletes With Eating Disorders,Sports,
He brought both Elizabeth Taylor (in “The Little Foxes”) and Muhammad Ali (in a memorable flop) to Broadway. He was even busier in Florida.,2020-05-01T21:20:20+0000,Obituary (Obit),1185,21,"Zev Buffman, Prolific Theatrical Producer, Is Dead at 89",Theater,
"Fighting between the Indian Army and militants threatened to heighten hostilities in the disputed region, where near-daily skirmishes have raged for weeks.",2020-05-03T11:43:27+0000,News,512,16,Kashmir Gun Battle Kills at Least 7,World,Asia Pacific
Cholera changed the face of Paris. Will Covid-19 change the streets of New York?,2020-05-01T09:00:28+0000,News,1019,3,Streets Should Be Car-Free During Lockdown. And After.,New York,
"Heavily dependent on advertising and circulation, local and regional newspapers in the U.K. could face financial ruin as a result of the coronavirus pandemic.",2020-05-03T19:04:19+0000,News,1031,3,"More Readers, Fewer Ads: Britain’s Local Newspapers Are Struggling",Business Day,Media
"Warming and gently spiced, this easy loaf cake comes together in just about an hour — and may not last nearly as long.",2020-05-01T16:42:51+0000,News,510,,This Snickerdoodle in Poundcake Form Is Your Next Baking Project,Food,
"Spring remains colorful, but unusually quiet, at some of the city’s botanical gardens as crews work to prune the beauty behind closed gates.",2020-05-01T15:00:09+0000,News,874,1,"At New York’s ‘Museums of Plants,’ the Art Is Blooming Lonely",Arts,
"Our retooled newsletter to start your day, intended to inform and amuse you just as before, will contain a few new voices, including mine. And I’m as big a fan of newsletters as anyone.",2020-05-03T22:59:54+0000,News,788,2,A New Companion for Your Morning,Reader Center,
"In Lebanon’s capital, it’s a point of pride that the party never stopped, even during war and protests. But will the dancing and drinking come back after the coronavirus lockdown?",2020-05-03T16:21:56+0000,News,1208,15,Beirut’s Nightlife Survived Civil War. Can It Withstand Pandemic?,World,Middle East
"Most pantries are closed on Sundays, but Jorge Negron opens his to make and provide brown-bag lunches.",2020-05-01T09:00:30+0000,News,833,2,How a Food Bank Manager Spends His Sundays,New York,
"The Russian president, who seems to share the traditional Soviet view of entrepreneurs as “swindlers,” is doing little to help them through a coronavirus lockdown.",2020-05-03T08:44:58+0000,News,1389,6,"As Putin Dallies, Russia’s Small Businesses Are Withering Away",World,Europe
"Along with making medical equipment, the car industry is finding ways to keep their customers safer, like coming to you when your car needs service.",2020-05-01T19:09:20+0000,News,1046,,How to Also Keep Your Car Healthy,Smarter Living,
Cholera changed the face of Paris. Will Covid-19 change the streets of New York?,2020-05-01T09:00:28+0000,News,1019,3,Streets Should Be Car-Free During Lockdown. And After.,New York,
"Heavily dependent on advertising and circulation, local and regional newspapers in the U.K. could face financial ruin as a result of the coronavirus pandemic.",2020-05-03T19:04:19+0000,News,1031,3,"More Readers, Fewer Ads: Britain’s Local Newspapers Are Struggling",Business Day,Media
